"aligner","DEsoftware","direction","ID"
"bowtie2","deseq2","up","FBtr0070241"
"bowtie2","deseq2","up","FBtr0070392"
"bowtie2","deseq2","up","FBtr0070724"
"bowtie2","deseq2","up","FBtr0071004"
"bowtie2","deseq2","up","FBtr0071246"
"bowtie2","deseq2","up","FBtr0071599"
"bowtie2","deseq2","up","FBtr0071613"
"bowtie2","deseq2","up","FBtr0071849"
"bowtie2","deseq2","up","FBtr0072102"
"bowtie2","deseq2","up","FBtr0072506"
"bowtie2","deseq2","up","FBtr0072635"
"bowtie2","deseq2","up","FBtr0072642"
"bowtie2","deseq2","up","FBtr0072712"
"bowtie2","deseq2","up","FBtr0072957"
"bowtie2","deseq2","up","FBtr0072993"
"bowtie2","deseq2","up","FBtr0072994"
"bowtie2","deseq2","up","FBtr0073120"
"bowtie2","deseq2","up","FBtr0073422"
"bowtie2","deseq2","up","FBtr0073426"
"bowtie2","deseq2","up","FBtr0073492"
"bowtie2","deseq2","up","FBtr0073839"
"bowtie2","deseq2","up","FBtr0073974"
"bowtie2","deseq2","up","FBtr0074528"
"bowtie2","deseq2","up","FBtr0075199"
"bowtie2","deseq2","up","FBtr0075541"
"bowtie2","deseq2","up","FBtr0075554"
"bowtie2","deseq2","up","FBtr0075558"
"bowtie2","deseq2","up","FBtr0075699"
"bowtie2","deseq2","up","FBtr0075928"
"bowtie2","deseq2","up","FBtr0076364"
"bowtie2","deseq2","up","FBtr0076453"
"bowtie2","deseq2","up","FBtr0076454"
"bowtie2","deseq2","up","FBtr0076496"
"bowtie2","deseq2","up","FBtr0076500"
"bowtie2","deseq2","up","FBtr0076545"
"bowtie2","deseq2","up","FBtr0076668"
"bowtie2","deseq2","up","FBtr0076772"
"bowtie2","deseq2","up","FBtr0076797"
"bowtie2","deseq2","up","FBtr0076935"
"bowtie2","deseq2","up","FBtr0077236"
"bowtie2","deseq2","up","FBtr0077247"
"bowtie2","deseq2","up","FBtr0077644"
"bowtie2","deseq2","up","FBtr0078069"
"bowtie2","deseq2","up","FBtr0078136"
"bowtie2","deseq2","up","FBtr0078346"
"bowtie2","deseq2","up","FBtr0078841"
"bowtie2","deseq2","up","FBtr0079199"
"bowtie2","deseq2","up","FBtr0080247"
"bowtie2","deseq2","up","FBtr0080592"
"bowtie2","deseq2","up","FBtr0080886"
"bowtie2","deseq2","up","FBtr0080942"
"bowtie2","deseq2","up","FBtr0081257"
"bowtie2","deseq2","up","FBtr0081353"
"bowtie2","deseq2","up","FBtr0081614"
